iter	Passed	Remaining
720	8331	3223
721	8345	3213
722	8359	3202
723	8372	3191
724	8383	3179
725	8395	3168
726	8407	3157
727	8420	3146
728	8431	3134
729	8443	3122
730	8456	3111
731	8468	3100
732	8480	3088
733	8491	3077
734	8503	3065
735	8515	3054
736	8527	3043
737	8539	3031
738	8548	3019
739	8557	3006
740	8565	2993
741	8573	2981
742	8581	2968
743	8589	2955
744	8598	2943
745	8608	2930
746	8616	2918
747	8624	2905
748	8632	2892
749	8640	2880
750	8648	2867
751	8656	2854
752	8664	2842
753	8672	2829
754	8680	2816
755	8688	2804
756	8696	2791
757	8706	2779
758	8714	2767
759	8723	2754
760	8730	2742
761	8739	2729
762	8747	2716
763	8755	2704
764	8763	2692
765	8771	2679
766	8780	2667
767	8788	2654
768	8796	2642
769	8805	2630
770	8813	2617
771	8821	2605
772	8829	2592
773	8837	2580
774	8845	2567
775	8856	2556
776	8865	2544
777	8874	2532
778	8882	2519
779	8891	2507
780	8903	2496
781	8913	2484
782	8922	2472
783	8929	2460
784	8938	2448
785	8948	2436
786	8961	2425
787	8969	2413
788	8976	2400
789	8985	2388
790	8993	2376
791	9007	2365
792	9015	2353
793	9024	2341
794	9033	2329
795	9042	2317
796	9054	2306
797	9063	2294
798	9071	2282
799	9079	2269
800	9087	2257
801	9098	2246
802	9109	2234
803	9117	2222
804	9128	2211
805	9142	2200
806	9163	2191
807	9175	2180
808	9191	2170
809	9209	2160
810	9223	2149
811	9237	2138
812	9258	2129
813	9268	2117
814	9279	2106
815	9298	2096
816	9313	2086
817	9325	2074
818	9335	2063
819	9353	2053
820	9365	2041
821	9376	2030
822	9387	2018
823	9407	2009
824	9415	1997
825	9427	1985
826	9443	1975
827	9460	1965
828	9474	1954
829	9483	1942
830	9497	1931
831	9506	1919
832	9514	1907
833	9522	1895
834	9531	1883
835	9544	1872
836	9554	1860
837	9564	1849
838	9575	1837
839	9588	1826
840	9600	1815
841	9608	1803
842	9616	1790
843	9624	1778
844	9632	1766
845	9643	1755
846	9653	1743
847	9661	1731
848	9669	1719
849	9677	1707
850	9687	1696
851	9701	1685
852	9714	1674
853	9726	1662
854	9748	1653
855	9761	1642
856	9773	1630
857	9789	1620
858	9804	1609
859	9815	1597
860	9827	1586
861	9845	1576
862	9857	1564
863	9869	1553
864	9883	1542
865	9900	1531
866	9911	1520
867	9923	1509
868	9943	1498
869	9955	1487
870	9967	1476
871	9980	1465
872	9997	1454
873	10009	1442
874	10019	1431
875	10036	1420
876	10051	1409
877	10059	1397
878	10067	1385
879	10076	1374
880	10089	1362
881	10098	1351
882	10106	1339
883	10114	1327
884	10125	1315
885	10145	1305
886	10160	1294
887	10176	1283
888	10199	1273
889	10211	1262
890	10226	1251
891	10248	1240
892	10261	1229
893	10275	1218
894	10296	1207
895	10310	1196
896	10323	1185
897	10342	1174
898	10355	1163
899	10367	1151
900	10386	1141
901	10398	1129
902	10410	1118
903	10423	1106
904	10445	1096
905	10456	1084
906	10467	1073
907	10480	1061
908	10490	1050
909	10498	1038
910	10506	1026
911	10514	1014
912	10523	1002
913	10535	991
914	10544	979
915	10552	967
916	10561	955
917	10571	944
918	10587	933
919	10603	922
920	10618	910
921	10633	899
922	10642	887
923	10651	876
924	10660	864
925	10670	852
926	10682	841
927	10690	829
928	10700	817
929	10708	805
930	10715	794
931	10728	782
932	10737	771
933	10745	759
934	10754	747
935	10762	735
936	10773	724
937	10784	712
938	10791	701
939	10799	689
940	10807	677
941	10816	665
942	10829	654
943	10837	642
944	10845	631
945	10854	619
946	10861	607
947	10874	596
948	10884	584
949	10891	573
950	10899	561
951	10907	549
952	10915	538
953	10929	527
954	10937	515
955	10945	503
956	10953	492
957	10960	480
958	10973	469
959	10983	457
960	10991	446
961	10998	434
962	11006	422
963	11017	411
964	11029	400
965	11037	388
966	11045	376
967	11052	365
968	11060	353
969	11073	342
970	11082	330
971	11089	319
972	11098	307
973	11106	296
974	11116	285
975	11128	273
976	11136	262
977	11144	250
978	11152	239
979	11160	227
980	11173	216
981	11181	204
982	11189	193
983	11197	182
984	11204	170
985	11215	159
986	11228	147
987	11235	136
988	11243	125
989	11250	113
990	11259	102
991	11273	90
992	11282	79
993	11290	68
994	11298	56
995	11307	45
996	11322	34
997	11330	22
998	11337	11
999	11345	0
